price,LAND AREA,HOUSE AREA,,BEDS,LIVING,KITCHEN,BATHROOMS,FLOORS,FACED TOWARDS,CATEGORY,TYPE,CODE,UPDATE,VIEWS,FURNISHING,FLAT AREA,PARKING AREA
"Rs. 40,000 (Negotiable)
(Forty thousand )",0-4-0-0,1200 SQUARE FEET,,3,1,1,2,2,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10308,5 MONTHS AGO,93,NOT FURNISHED,,
"Rs. 32,00,000 (Negotiable)
(32 lakh per aana)",0-4-0-0,,,,,,,,NORTH,LAND (RESIDENTIAL),NONE,GB05398,5 YEARS AGO,6556,,,
"Rs. 7,00,000 (Negotiable)",999 SQUARE FEET,,,,,,,,NONE,OFFICE SPACE (COMMERCIAL),PILLAR SYSTEM,GB10444,4 MONTHS AGO,29,FULLY FURNISHED,,
"Rs. 2,30,00,000 (Negotiable)
(Two crore thirty lakh )",0-4-2-2,2100 SQUARE FEET,,6,2,2,3,2.5,NORTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB07393,3 YEARS AGO,8917,NOT FURNISHED,,
"Rs. 28,00,000 (Negotiable)",0-4-0-0,,,,,,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10605,1 MONTH AGO,49,NOT FURNISHED,,
"Rs. 1,25,000 / month (Negotiable)
(One lakh twenty five thousand )",0-10-0-0,0-4-0-0,,,,,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10313,5 MONTHS AGO,54,NOT FURNISHED,,
"Rs. 3,40,00,000 (Negotiable)
(Three crore forty lakh )",0-3-2-0,0-3-2-0,,6,2,2,,3,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10390,4 MONTHS AGO,71,FULLY FURNISHED,,
"Rs. 5,35,00,000 (Negotiable)
(Five crore thirty five lakh )",0-7-1-0,0-7-1-0,,7,3,2,,3.5,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09986,8 MONTHS AGO,127,NOT FURNISHED,,
"Rs. 7,00,00,000 (Negotiable)
(7 crore)",0-8-0-0,0-4-0-0,,6,2,2,,3,WEST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB04468,5 YEARS AGO,1766,FULLY FURNISHED,,
"Rs. 6,50,000 (Negotiable)
(Six lakh fifty thousand per month)",3-0-0-0,,,,,,,,NONE,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB09324,1 YEAR AGO,1226,NOT FURNISHED,,
"Rs. 37,00,000 (Negotiable)
(37 lakh per aana)",0-11-0-0,0-2-0-0,,,,,,,NORTH,LAND (RESIDENTIAL),PILLAR SYSTEM,GB05416,5 YEARS AGO,6384,,,
"Rs. 23,50,000 (Negotiable)
(Twenty three lakh fifty thousand )",9-0-0-0,,,,,,,,NONE,LAND (RESIDENTIAL),NONE,GB09393,5 DAYS AGO,12021,,,
"Rs. 13,50,00,000 (Negotiable)
(Thirteen crore fifty lakh )",3-5-0-0,,,,,,,,NONE,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB06871,4 YEARS AGO,4372,,,
"Rs. 20,00,000 (Negotiable)
(Twenty lakh per aana )",0-5-1-0,,,,,,,,NORTH-WEST,LAND (RESIDENTIAL),PILLAR SYSTEM,GB06377,4 YEARS AGO,2195,,,
"Rs. 3,20,00,000 (Negotiable)
(Three crore twenty lakh )",0-6-0-0,2755 SQUARE FEET,,5,3,2,4,2.5,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06514,3 YEARS AGO,14490,SEMI FURNISHED,,
"Rs. 5,50,00,000
(Five crore fifty lakh )",0-5-0-0,,,,,,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10776,2 WEEKS AGO,14,,,
"Rs. 50,000 (Negotiable)
(Fifty thousand per month)",0-34-0-0,,,,,,,,WEST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB05152,4 YEARS AGO,3547,,,
"Rs. 2,85,00,000 (Negotiable)
(Two crore eighty five lakh )",0-4-1-1,2637 SQUARE FEET,,5,2,3,7,3.5,NORTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10712,1 MONTH AGO,1040,NOT FURNISHED,,
,0-5-3-1,,,4,1,1,4,2.5,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06359,4 YEARS AGO,7875,SEMI FURNISHED,,
,,,,,,,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10798,2 WEEKS AGO,31,,,
"Rs. 1,00,00,000 (Negotiable)
(n/a)",0-6-1-0,,,,,,,,NONE,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10604,1 MONTH AGO,40,,,
"Rs. 55,000 (Negotiable)
(Fifty five thousand per month)",950 SQUARE FEET,,,,,,,,NONE,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB09766,5 MONTHS AGO,1945,NOT FURNISHED,,
"Rs. 38,00,000 (Negotiable)
(Thirty eight lakh )",0-8-0-0,,,,,,,,SOUTH-WEST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB09676,10 MONTHS AGO,1051,,,
"Rs. 4,60,00,000 (Negotiable)
(Four crore sixty lakh )",0-7-0-0,,,5,2,2,,2.5,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10338,5 MONTHS AGO,89,SEMI FURNISHED,,
"Rs. 3,00,000 (Negotiable)
(3 lakh only)",1-10-0-0,,,,,,,6,WEST,COMMERCIAL BUILDING (RESIDENTIAL),PILLAR SYSTEM,GB02766,2 YEARS AGO,5074,SEMI FURNISHED,,
"Rs. 3,09,00,000 (Negotiable)
(Three crore nine lakh)",0-14-2-0,,,,,,,,SOUTH-EAST,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB04612,4 YEARS AGO,1651,,,
"Rs. 32,00,000 (Negotiable)
(Thirty two lakh per aana)",4-0-0-0,4-0-0-0,,,,,,,SOUTH-EAST,LAND (RESIDENTIAL),NONE,GB06996,4 YEARS AGO,3128,,,
,0-14-0-0,1600 SQUARE FEET,,8,1,2,2,2.5,NONE,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB10728,1 MONTH AGO,437,NOT FURNISHED,,
"Rs. 70 (Negotiable)
(Seventy per sq.ft)",1-0-0-0,,,,,,,,NORTH-EAST,COMMERCIAL BUILDING (RESIDENTIAL),PILLAR SYSTEM,GB10243,5 MONTHS AGO,507,NOT FURNISHED,5700 SQUARE FEET,
"Rs. 2,15,00,000 (Negotiable)
(Two crore fifteen lakh )",0-3-3-0,2250 SQUARE FEET,,4,2,2,4,2.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06798,2 YEARS AGO,22758,SEMI FURNISHED,,
"Rs. 200 (Negotiable)
(Two hundred per sq.ft )",2320 SQUARE FEET,,,,,,2,,NONE,OFFICE SPACE (RESIDENTIAL),PILLAR SYSTEM,GB10447,4 MONTHS AGO,381,FULLY FURNISHED,,
"Rs. 2,35,00,000 (Negotiable)
(Two crore thirty five lakh )",0-3-0-0,,,13,,1,7,4.5,EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB02688,2 YEARS AGO,2027,NOT FURNISHED,,
"Rs. 1,25,00,000 (Negotiable)
(1 crore 25 lakh)",0-2-2-2,,,4,1,1,2,2,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05342,5 YEARS AGO,4889,SEMI FURNISHED,,
"Rs. 28,50,000 (Negotiable)
(2850000)",1-01-01-0,,,,,,,,NONE,HOUSE (RESIDENTIAL),NONE,GB10545,2 MONTHS AGO,111,NOT FURNISHED,,
"Rs. 18,000 (Negotiable)
(Eighteen thousand )",0-5-0-0,,,1,1,1,1,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10014,7 MONTHS AGO,75,NOT FURNISHED,,
"Rs. 40,000 / month (Negotiable)
(Forty thousand )",0-5-2-0,,,,,,,,SOUTH-WEST,LAND (RESIDENTIAL),NONE,GB08845,2 YEARS AGO,2783,,,
"Rs. 2,35,00,000 (Negotiable)
(Two crore thirty five lakh )",,1455 SQUARE METER,,3,1,1,2,4,EAST,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB09950,7 MONTHS AGO,1602,FULLY FURNISHED,,
"Rs. 1,80,00,000 (Negotiable)
(One crore eighty lakh )",0-3-0-0,0-3-0-0,,5,3,3,3,2.5,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB02630,2 YEARS AGO,4022,SEMI FURNISHED,,
"Rs. 3,50,00,000 (Negotiable)
(Three crore fifty lakh )",0-5-0-0,,,9,,4,6,3.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB02955,2 YEARS AGO,2247,SEMI FURNISHED,,
"Rs. 2,35,00,000 (Negotiable)
(Two crore thirty five lakh )",0-3-0-2,,,5,2,2,,2.5,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10397,4 MONTHS AGO,97,SEMI FURNISHED,,
"Rs. 2,50,00,000 (Negotiable)
(Two crore fifty lakh )",0-3-0-0,,,5,1,1,5,3.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09320,1 YEAR AGO,2180,NOT FURNISHED,,
"Rs. 1,70,00,000 (Negotiable)
(One crore seventy lakh )",0-4-0-0,2159 SQUARE FEET,,4,1,1,2,2,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB07789,2 YEARS AGO,4896,SEMI FURNISHED,,
"Rs. 41,00,000 (Negotiable)
(41 lakh per anna)",0-4-0-0,,,,,,,,EAST,LAND (RESIDENTIAL),NONE,GB05412,5 YEARS AGO,3365,,,
,0-,,,2,1,1,,2.5,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10339,5 MONTHS AGO,60,FULLY FURNISHED,,
"Rs. 95,00,000 (Negotiable)
(Ninety five lakh )",0-3-3-0,6011 SQUARE FEET,,2,1,1,1,1.5,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06552,3 YEARS AGO,7279,NOT FURNISHED,,
"Rs. 1,10,000 (Negotiable)
(One lakh ten thousand per month)",0-4-2-0,1180 SQUARE FEET,,3,2,1,3,2.5,NORTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB07562,3 YEARS AGO,11667,NOT FURNISHED,,
"Rs. 50,00,000
(Fifty lakh )",0-11-0-0,,,,,,,,SOUTH-WEST,LAND (RESIDENTIAL),NONE,GB10627,1 MONTH AGO,1188,,,
"Rs. 10,00,000 (Negotiable)
(Ten lakh )",220 SQUARE FEET,,,,,,,,NONE,SHUTTER/S (RESIDENTIAL),PILLAR SYSTEM,GB10258,5 MONTHS AGO,220,FULLY FURNISHED,,
"Rs. 10,00,00,000 (Negotiable)
(Ten crore )",1-4-0-0,,,4,1,1,2,2.5,EAST,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB07504,2 YEARS AGO,12893,NOT FURNISHED,,
,0-7-0-0,0-7-0-0,,,,,,5.5,SOUTH-WEST,OFFICE SPACE (RESIDENTIAL),PILLAR SYSTEM,GB06340,4 YEARS AGO,3054,SEMI FURNISHED,,
,11-12-1-2,,,15,2,1,15,5,SOUTH,HOTELS & RESORTS (COMMERCIAL),PILLAR SYSTEM,GB10316,4 MONTHS AGO,505,FULLY FURNISHED,,
"Rs. 3,99,000 (Negotiable)
(Three lakh ninety nine thousand )",0-0-0-0,,,,,,,,NORTH-WEST,SHUTTER/S (RESIDENTIAL),PILLAR SYSTEM,GB10526,3 MONTHS AGO,57,NOT FURNISHED,,
"Rs. 4,50,00,000 (Negotiable)
(Four crore fifty lakh )",0-10-0-0,,,7,1,1,6,2.5,SOUTH-WEST,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB06228,4 YEARS AGO,5511,FULLY FURNISHED,,
"Rs. 3,30,00,000 (Negotiable)
(Three crore thirty lakh )",0-4-2-0,,,7,2,2,3,3,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10088,7 MONTHS AGO,119,NOT FURNISHED,,
"Rs. 11,00,000 (Negotiable)
(Eleven lakh )",0-,,,,,,,,NONE,RESTAURANT (RESIDENTIAL),PILLAR SYSTEM,GB10438,4 MONTHS AGO,289,NOT FURNISHED,,
"Rs. 65,000 (Negotiable)
(Sixty five thousand )",0-3-0-0,900 SQUARE FEET,,3,3,1,2,2.5,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10079,7 MONTHS AGO,44,FULLY FURNISHED,,
"Rs. 18,00,000 (Negotiable)
(Per Aana)",0-7-3-0,,,,,,,,SOUTH,LAND (RESIDENTIAL),PILLAR SYSTEM,GB04599,6 YEARS AGO,2353,,,
"Rs. 1,97,00,000 (Negotiable)
(1 crore 97 lakh)",0-3-0-0,,,4,3,3,4,3.5,NORTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05703,5 YEARS AGO,3208,SEMI FURNISHED,,
"Rs. 68,00,000 (Negotiable)
(Sixty eight lakh )",1-1-2-0,,,,,,,,NORTH,LAND (RESIDENTIAL),NONE,GB10695,3 DAYS AGO,316,,,
,0-6-2-3,,,42,,,13,6,NORTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB03049,2 YEARS AGO,3606,NOT FURNISHED,,
"Rs. 6,00,000 (Negotiable)
(4 Table)",0-,,,,,,,,NONE,LAND (RESIDENTIAL),NONE,GB10094,7 MONTHS AGO,61,,,
"Rs. 26,00,000 (Negotiable)
(Twenty six lakh )",0-3-1-2,,,,,,,,NONE,LAND (RESIDENTIAL),NONE,GB09971,8 MONTHS AGO,66,,,
,5000 SQUARE FEET,5000 SQUARE FEET,,,,,4,,EAST,COMMERCIAL BUILDING (RESIDENTIAL),PILLAR SYSTEM,GB05301,5 YEARS AGO,5079,SEMI FURNISHED,,
,,,,6,1,1,1,2,WEST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB02737,4 YEARS AGO,1754,NOT FURNISHED,,
"Rs. 2,40,00,000 (Negotiable)
(Two Crores Forty Lakhs )",0-3-1-0,,,4,2,2,3,2.5,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05692,5 YEARS AGO,3243,NOT FURNISHED,,
"Rs. 2,50,00,000 (Negotiable)
(Two crore fifty lakh )",0-6-0-0,,,5,2,3,3,2.5,NORTH,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB02815,4 YEARS AGO,5323,SEMI FURNISHED,,
"Rs. 85,00,000 (Negotiable)
(Eighty five lakh )",0-6-2-0,,,,,,,,NONE,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10232,5 MONTHS AGO,23,,,
"Rs. 1,50,00,000 (Negotiable)
(1 crore 50 lakh)",0-0-3-2,,,,,,,5,SOUTH-EAST,HOUSE (COMMERCIAL),PILLAR SYSTEM,GB04554,6 YEARS AGO,2592,NOT FURNISHED,,
"Rs. 2,95,00,000 (Negotiable)
(Two crore ninety five lakh )",0-4-0-0,,,6,3,3,3,3,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09973,8 MONTHS AGO,132,FULLY FURNISHED,,
"Rs. 4,10,00,000 (Negotiable)
(Four crore ten lakh )",0-6-0-0,2700 SQUARE FEET,,5,1,1,5,2.5,SOUTH,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB05609,3 YEARS AGO,34461,FULLY FURNISHED,,
"Rs. 25,00,000
(Twenty five lakh )",0-3-0-0,,,,,,,,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10718,1 MONTH AGO,15,,,
"Rs. 2,50,000 (Negotiable)
(Two lakh fifty thousand )",0-12-0-0,,,,,,,,NONE,FARM HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10255,5 MONTHS AGO,18,NOT FURNISHED,,
"Rs. 65,00,000 (Negotiable)
(65 lakh )",9659 SQUARE FEET,1822 SQUARE FEET,,4,,1,1,1,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB03932,5 YEARS AGO,11244,NOT FURNISHED,,
,0-3-1-1,,,,,,,,NONE,LAND (RESIDENTIAL),NONE,GB01726,2 YEARS AGO,2129,,,
"Rs. 14,00,000 (Negotiable)
(14 lakh per aana)",0-16-0-0,,,,,,,,SOUTH,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB05378,5 YEARS AGO,5924,,,
"Rs. 2,10,00,000 (Negotiable)
(2 crore 10 lakh)",0-3-0-0,,,7,1,2,3,2.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05661,5 YEARS AGO,2442,SEMI FURNISHED,,
"Rs. 1,80,00,000 (Negotiable)
(One crore eighty lakh )",0-2-2-0,0-2-2-0,,7,,2,,3,WEST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB06737,4 YEARS AGO,2959,NOT FURNISHED,,
"Rs. 6,40,00,000 (Negotiable)
(Six crore forty lakh )",1-0-0-0,1-0-0-0,,,,3,4,2,EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB06330,4 YEARS AGO,3023,SEMI FURNISHED,,
,0-5-0-0,,,,,,,,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10494,3 MONTHS AGO,83,,,
"Rs. 1,68,00,000 (Negotiable)
(One crore sixty eight lakh )",0-4-0-0,1900 SQUARE FEET,,5,2,1,2,2.5,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05722,7 MONTHS AGO,7332,NOT FURNISHED,,
"Rs. 1,50,000 / month (Negotiable)
(One lakh fifty thousand )",,3 KATTHA,,,,,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09993,8 MONTHS AGO,203,SEMI FURNISHED,,
"Rs. 3,50,000 (Negotiable)
(Starting price 3 lakh 50 thousand per meter)",17-6-3-2,,,,,,,,SOUTH,LAND (RESIDENTIAL),PILLAR SYSTEM,GB04422,6 YEARS AGO,4729,,,
"Rs. 50,00,000 (Negotiable)
(Fifty lakh )",0-5-0-0,,,,,,,,SOUTH,LAND (RESIDENTIAL),NONE,GB10371,4 MONTHS AGO,59,,,
"Rs. 1,15,00,000 (Negotiable)
(One crore fifteen lakh )",,2667 SQUARE FEET,,6,1,1,4,2.5,SOUTH,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB07568,3 YEARS AGO,5911,NOT FURNISHED,,
"Rs. 18,00,000 (Negotiable)
(18 lakh per aana)","0-3-2-0, 0-5-2-0",,,,,,,,EAST,LAND (RESIDENTIAL),NONE,GB04819,5 YEARS AGO,18100,,,
"Rs. 8,50,00,000 (Negotiable)
(Eight crore fifty lakh )",0-8-3-2,2789 SQUARE FEET,,5,2,1,4,2.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10770,2 WEEKS AGO,1038,FULLY FURNISHED,,
"Rs. 2,00,00,000 (Negotiable)
(Two crore )",0-3-0-0,,,3,1,2,,2,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10392,4 MONTHS AGO,87,NOT FURNISHED,,
,0-13-2-0,,,,,,,,SOUTH-EAST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB03718,6 YEARS AGO,8414,,,
"Rs. 50,000 (Negotiable)
(Fifty thousand per month)",850 SQUARE FEET,,,,,,,,NONE,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB09802,10 MONTHS AGO,808,NOT FURNISHED,,
"Rs. 3,50,00,000 (Negotiable)
(3 crore 50 lakh )",0-9-0-0,1200 SQUARE FEET,,4,2,2,,2,NORTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB04497,6 YEARS AGO,1535,SEMI FURNISHED,,
"Rs. 35,00,000 (Negotiable)
(Thirty five lakh per aana)",0-6-3-0,,,,,,,,SOUTH-WEST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB08814,2 YEARS AGO,2605,,,
"Rs. 3,50,000 (Negotiable)
(For sale 15 crore/For rent 3 lakh 50 thousand per month)",0-6-2-0,4000 SQUARE FEET,,8,1,1,7,3.5,NORTH,COMMERCIAL BUILDING (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB07078,4 YEARS AGO,3517,SEMI FURNISHED,,
"Rs. 34,000 / month (Negotiable)
(Thirty four thousand per month)",0-,0-8-0-0,,3,1,1,1,1,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10100,6 MONTHS AGO,91,FULLY FURNISHED,,
"Rs. 17,00,000 (Negotiable)
(17 lakh per aana)",0-5-2-2,,,,,,,,SOUTH,LAND (RESIDENTIAL),NONE,GB03700,5 YEARS AGO,5099,,,
"Rs. 2,95,00,000 (Negotiable)
(Two crore ninety five lakh )",0-3-2-0,800 SQUARE FEET,,5,2,2,3,2.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09980,8 MONTHS AGO,132,FULLY FURNISHED,,
,0-,,,,,,,3,NORTH-EAST,COMMERCIAL BUILDING (COMMERCIAL),PILLAR SYSTEM,GB05401,4 YEARS AGO,3042,NOT FURNISHED,,
"Rs. 5,50,00,000 (Negotiable)
(Five crore fifty lakh )",0-10-0-0,1938 SQUARE FEET,,7,1,2,2,2.5,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB07580,11 MONTHS AGO,4393,NOT FURNISHED,,
"Rs. 2,85,00,000 (Negotiable)
(Two crore eighty five lakh )",0-3-2-1,2461 SQUARE FEET,,10,2,2,5,,EAST,HOUSE (RESIDENTIAL),NONE,GB10080,7 MONTHS AGO,95,NOT FURNISHED,,
"Rs. 4,50,00,000 (Negotiable)
(Four crore fifty lakh )",0-5-0-0,3600 SQUARE FEET,,7,3,3,6,3.5,EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB07627,2 YEARS AGO,7575,NOT FURNISHED,,
"Rs. 2,15,00,000 (Negotiable)
(Two crore fifteen lakh )",0-2-2-1,,,2,2,1,3,3.5,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB08601,2 YEARS AGO,6619,NOT FURNISHED,,
